,0
453,"Nose of yellow apples, white flowers, toast, and beeswax. Effervescent with flavours of pears, passionfruit, dried limes, almonds, beeswax, tarragon, medium acidity, and a lees-y viscosity. Blind, I would placed this in the Loire as a Sauvignon Blanc,... but what do I know."
454,Very nice GV - did a little blind tasting with a NZ Sauv Blanc - which my friends love and they loved this one better and even thought it is the Sauvignon Blanc Tells me - good minerality acidic and Papple (half peach half Apple) but more the strong aggressive green apples
455,A refreshing and typical GV with pear notes and great acidity that brings a palate of citrus (particularly lime) and spice. Thoroughly enjoyable for the price.
456,Spiced pear and fruity on the nose. Quick finish with some spritz. I get flavors of lemon zest and pear with some minerality. Quite lovely on its own!
457,Tasting dinner at Défi in Syracuse. If you find yourself in Syracuse go here and let chefs Cody and Nick serve you whatever they suggest. A simple fresh Gruner.
458,"An easy drink my Gruner. Very light colour, nose of peach and grapefruit. Very mineral on the palette with lemon, wet gravel, and more citrus flavour."
459,I must be missing something here. It's not as complex a Grüner as I might have hoped. Lemon zest and bitter lime on the nose. Green apple and radish on the palate.
460,"Crisp, citrus, great acid, perfect fruit, not sweet but fruit is noticeable, perfect summer dry white wine. My favorite Grüner so far. Bought at Bev Mo in Carlsbad, CA for $16."
461,"Solid Gruner that is crisp, but a bit flabby unless served quite cold. Still, a very drinkable wine at an affordable price."
462,Very much grass. A bit oily. Citrus. Fresh and full of minerals. It worked very well with saffron fish stew.
463,"Solera tasting Fruity style Grüner Veltliner, hand picked grapes from steep terraces of Federspiel."
464,Fragrance of green apple. Dry and mineral taste.
465,Something new for me. Riesling citrus flavours with an almost Viognier mineral mouth feel. Very enjoyable.
466,Like it would buy again
467,Light and easy to drink. Low acidity. Perfect for a lush summer evening outside.
468,Love this mineraly crisp clean delicious wine. Great spring into summer wine.
469,This is light on preservatives for those who react to sulphites. A lovely fruity and slightly spicy flavour for something a bit different.
470,"My first Gruner... And I love it. Crisp, pleasantly tart, and a hint of spritz on the tongue. Green apple, lemon peel and white pepper. Delightful."
471,"I love this wine. Great acidity, minerality, and white pepper I love from a Gruner. I wish I could find it more often."
472,"Golden delicious apple, Meyer lemon, a honeyed quality on the nose with tart lime zest and herbs in the palate"
473,"Lemongrass tea like minerality. Green apple, white pepper then a lingering soft mildly sweet finish. Can't wait to pair with food!"
474,"Nose of peach, white blossom and almond. Palate of minerals, anise and fennel. Rather light wine, very refreshing."
475,Good value. Nice summer wine. Drank in Dominica courtesy of Max
476,"Backlog. Yellow Apple, pear. Fruit forward & refreshing. Served too warm - so didn’t get the right impression though."
477,"Right to the point gruner...nice to find this trap again. Great value, nice minerality, with a nice dry acidity!"
478,Perfect every day summer grüner. Light citrus and green apple and melon. Medium acid. Chilled nicely for hot summer days.
479,"Pale yellow wine with greenish reflections. Green apple, citrus Rather high acidity. Medium finish"
480,
481,
482,
